country_name,sex,age_group,age_categories,year,unemployment_rate
Bosnia and Herzegovina,Female,15-24 (Youth),Youth,2014,65.74
Bosnia and Herzegovina,Female,25+ (Adults),Adults,2014,27.499
Bosnia and Herzegovina,Female,Under 15 (Children),Children,2014,31.137
Bosnia and Herzegovina,Male,15-24 (Youth),Youth,2014,61.838
Bosnia and Herzegovina,Male,25+ (Adults),Adults,2014,21.256
Bosnia and Herzegovina,Male,Under 15 (Children),Children,2014,25.154
Botswana,Female,15-24 (Youth),Youth,2014,38.785
Botswana,Female,25+ (Adults),Adults,2014,17.549
Botswana,Female,Under 15 (Children),Children,2014,21.215
Botswana,Male,15-24 (Youth),Youth,2014,31.301
Botswana,Male,25+ (Adults),Adults,2014,12.367
Botswana,Male,Under 15 (Children),Children,2014,15.945
Brazil,Female,15-24 (Youth),Youth,2014,18.881
Brazil,Female,25+ (Adults),Adults,2014,5.865
Brazil,Female,Under 15 (Children),Children,2014,8.33
Brazil,Male,15-24 (Youth),Youth,2014,12.957
Brazil,Male,25+ (Adults),Adults,2014,3.886
Brazil,Male,Under 15 (Children),Children,2014,5.613
Brunei Darussalam,Female,15-24 (Youth),Youth,2014,26.157
Brunei Darussalam,Female,25+ (Adults),Adults,2014,4.65
Brunei Darussalam,Female,Under 15 (Children),Children,2014,7.863
Brunei Darussalam,Male,15-24 (Youth),Youth,2014,23.043
Brunei Darussalam,Male,25+ (Adults),Adults,2014,3.39
Brunei Darussalam,Male,Under 15 (Children),Children,2014,6.138
Bulgaria,Female,15-24 (Youth),Youth,2014,23.753
Bulgaria,Female,25+ (Adults),Adults,2014,9.685
Bulgaria,Female,Under 15 (Children),Children,2014,10.402
Bulgaria,Male,15-24 (Youth),Youth,2014,23.825
Bulgaria,Male,25+ (Adults),Adults,2014,11.512
Bulgaria,Male,Under 15 (Children),Children,2014,12.313
Burkina Faso,Female,15-24 (Youth),Youth,2014,7.467
Burkina Faso,Female,25+ (Adults),Adults,2014,3.344
Burkina Faso,Female,Under 15 (Children),Children,2014,4.458
Burkina Faso,Male,15-24 (Youth),Youth,2014,6.673
Burkina Faso,Male,25+ (Adults),Adults,2014,3.089
Burkina Faso,Male,Under 15 (Children),Children,2014,4.134
Burundi,Female,15-24 (Youth),Youth,2014,1.918
Burundi,Female,25+ (Adults),Adults,2014,0.906
Burundi,Female,Under 15 (Children),Children,2014,1.153
Burundi,Male,15-24 (Youth),Youth,2014,4.166
Burundi,Male,25+ (Adults),Adults,2014,1.435
Burundi,Male,Under 15 (Children),Children,2014,2.02
Cabo Verde,Female,15-24 (Youth),Youth,2014,28.366
Cabo Verde,Female,25+ (Adults),Adults,2014,8.013
Cabo Verde,Female,Under 15 (Children),Children,2014,12.084
Cabo Verde,Male,15-24 (Youth),Youth,2014,24.959
Cabo Verde,Male,25+ (Adults),Adults,2014,7.929
Cabo Verde,Male,Under 15 (Children),Children,2014,11.436
Cambodia,Female,15-24 (Youth),Youth,2014,1.009
Cambodia,Female,25+ (Adults),Adults,2014,0.576
Cambodia,Female,Under 15 (Children),Children,2014,0.69
Cambodia,Male,15-24 (Youth),Youth,2014,1.133
Cambodia,Male,25+ (Adults),Adults,2014,0.559
Cambodia,Male,Under 15 (Children),Children,2014,0.69
Cameroon,Female,15-24 (Youth),Youth,2014,6.728
Cameroon,Female,25+ (Adults),Adults,2014,3.231
Cameroon,Female,Under 15 (Children),Children,2014,4.047
Cameroon,Male,15-24 (Youth),Youth,2014,5.708
Cameroon,Male,25+ (Adults),Adults,2014,2.227
Cameroon,Male,Under 15 (Children),Children,2014,3.073
Canada,Female,15-24 (Youth),Youth,2014,11.495
Canada,Female,25+ (Adults),Adults,2014,5.591
Canada,Female,Under 15 (Children),Children,2014,6.498
Canada,Male,15-24 (Youth),Youth,2014,14.901
